user,game,hrs,purchase,play
38049880,Deus Ex Human Revolution - Director's Cut,0.0,1,0
9823354,EVGA PrecisionX 16,0.0,1,0
24632218,Half-Life Blue Shift,0.0,1,0
80779496,Skullgirls,1.5,1,1
11794760,Metro 2033,0.0,1,0
161384593,Gotham City Impostors Free To Play,0.7,1,1
47457723,Geneforge 2,0.0,1,0
99077905,Mortal Kombat Kollection,1.3,1,1
111163130,Empire Total War,0.0,1,0
281927198,AdVenture Capitalist,0.0,1,0
155032068,Counter-Strike Source,4.9,1,1
11940338,Counter-Strike Source,0.4,1,1
173344308,TOME Immortal Arena,0.0,1,0
17495098,Football Manager 2013,323.0,1,1
17530772,Amnesia A Machine for Pigs,5.0,1,1
11978743,Portal,0.0,1,0
3449240,Arma 3 Helicopters,0.0,1,0
83135348,Fallout 4,46.0,1,1
291967240,Unturned,0.0,1,0
19696244,Tom Clancy's Rainbow Six Vegas 2,39.0,1,1
37706629,Half-Life 2 Episode One,0.0,1,0
51557405,DisplayFusion,0.0,1,0
40289887,Half-Life 2 Episode Two,13.4,1,1
146809006,TDP4Team Battle,0.1,1,1
240405101,TERA,0.0,1,0
34919318,Terraria,14.3,1,1
86540,Back to the Future Ep 4 - Double Visions,0.0,1,0
124712421,Portal,11.9,1,1
45422636,Rome Total War - Alexander,32.0,1,1
975449,Hacker Evolution - Untold,0.0,1,0
58345543,Karos,0.0,1,0
160288335,Brothers - A Tale of Two Sons,3.5,1,1
75463760,RollerCoaster Tycoon 2 Triple Thrill Pack,0.1,1,1
160767652,The Elder Scrolls V Skyrim,227.0,1,1
138941587,Borderlands 2 Headhunter 2 Wattle Gobbler,0.0,1,0
92503355,Company of Heroes Opposing Fronts,0.0,1,0
150305902,Rising Storm/Red Orchestra 2 Multiplayer,0.0,1,0
174287424,Free to Play,0.0,1,0
162214363,Nosgoth,0.6,1,1
91859894,The Elder Scrolls V Skyrim - Dragonborn,0.0,1,0
237704094,TerraTech,1.3,1,1
127220350,Star Trek Online,0.1,1,1
185079540,"Please, Dont Touch Anything",1.6,1,1
164820245,FINAL FANTASY VII,1.9,1,1
45617627,Space Engineers,8.8,1,1
118263812,Kane & Lynch 2 Dog Days,4.0,1,1
115632831,Pinball FX2 - Civil War Table,0.0,1,0
11403772,Magic The Gathering  Duels of the Planeswalkers 2012,18.4,1,1
58768356,PC Gamer,0.2,1,1
271938268,Strife,13.0,1,1
203838394,Survarium,0.5,1,1
143643478,Divinity Original Sin,72.0,1,1
975449,Killing Floor,10.0,1,1
145243748,Fallout 3 - Game of the Year Edition,10.5,1,1
88344296,Warframe,11.4,1,1
114727578,The Elder Scrolls IV Oblivion ,1.5,1,1
121497634,Vindictus,0.0,1,0
249495968,HIS (Heroes In the Sky),0.1,1,1
15576531,Half-Life Opposing Force,0.0,1,0
170485590,Call of Duty Modern Warfare 3 - Multiplayer,123.0,1,1
158974308,Counter-Strike Global Offensive,14.6,1,1
73721802,Half-Life 2,0.8,1,1
203494117,Dota 2,0.7,1,1
53875128,RPG Maker VX Ace,0.0,1,0
198249024,The Elder Scrolls V Skyrim - Dawnguard,0.0,1,0
67579257,Planetary Annihilation,1.3,1,1
70408902,Psychonauts Demo,0.0,1,0
108264287,Sins of a Solar Empire Rebellion Forbidden Worlds,0.0,1,0
231029951,sZone-Online,0.3,1,1
121891688,Batman Arkham Origins - Initiation,0.0,1,0
214281367,Team Fortress 2,1.1,1,1
48798067,King Arthur The Saxons,0.0,1,0
43913966,Borderlands 2,51.0,1,1
36439985,Magic The Gathering - Duels of the Planeswalkers,3.7,1,1
133997970,Mark of the Ninja,1.3,1,1
102263723,Lords of the Realm,0.0,1,0
170172944,TERA,0.8,1,1
69954842,ENSLAVED Odyssey to the West Premium Edition,0.2,1,1
244789964,Unreal II The Awakening,0.2,1,1
85458882,Borderlands DLC Mad Moxxi's Underdome Riot,0.0,1,0
189424582,War Thunder,0.0,1,0
102263723,Star Wars Knights of the Old Republic,10.2,1,1
156565178,L.A. Noire,4.7,1,1
184314651,Portal,4.2,1,1
73835640,RIFT,77.0,1,1
94110492,XCOM Enemy Within,0.0,1,0
292715948,Dota 2,2.6,1,1
144580725,Ring Runner Flight of the Sages,0.6,1,1
62878249,"Warhammer 40,000 Dawn of War  Winter Assault",0.1,1,1
88579585,Medieval II Total War,0.0,1,0
103848468,Collapse,1.8,1,1
92595907,Dota 2,9.2,1,1
13190476,Middle-earth Shadow of Mordor,31.0,1,1
204795948,Memoir '44 Online,0.0,1,0
68809194,Team Fortress 2,38.0,1,1
86912006,Dragon Nest Europe,0.0,1,0
6717871,Battlefield Bad Company 2 Vietnam,0.0,1,0
107452765,Tropico 4,0.0,1,0
73495968,Red Faction Armageddon,0.5,1,1
173649791,Counter-Strike Global Offensive,2.9,1,1
81943620,Assassin's Creed IV Black Flag,89.0,1,1
65958466,Of Orcs And Men,0.9,1,1
13614852,Half-Life 2,0.0,1,0
134213189,Dota 2,2.4,1,1
154230723,Neverwinter,0.0,1,0
88271258,Football Manager 2012,607.0,1,1
33013552,Overlord,0.0,1,0
64350600,Dota 2,2.4,1,1
70408902,Gish,0.0,1,0
160433170,Sid Meier's Civilization V,1.5,1,1
181154544,Nosgoth,0.0,1,0
54124359,Warface,0.0,1,0
43913966,Magicka Holiday Spirit Item Pack ,0.0,1,0
40212239,Mafia II,0.0,1,0
83599495,Heroes of Scene,0.0,1,0
71390526,The Wolf Among Us,39.0,1,1
58905429,Metro 2033,0.6,1,1
87040683,Survarium,0.0,1,0
53784377,Team Fortress 2,0.6,1,1
68316900,Half-Life 2 Deathmatch,0.0,1,0
241742834,Dota 2,4.3,1,1
300620379,Mitos.is The Game,7.0,1,1
60859695,Kentucky Route Zero,0.8,1,1
135400225,Loadout,0.8,1,1
86912006,Conquest of Champions,0.0,1,0
71865634,Sid Meier's Civilization V,68.0,1,1
82112070,Call of Duty Modern Warfare 2 - Multiplayer,80.0,1,1
36915181,Counter-Strike Condition Zero Deleted Scenes,0.0,1,0
23672423,Total War ROME II - Emperor Edition,0.0,1,0
5270060,Half-Life Opposing Force,0.0,1,0
42005897,Hearts of Iron III,53.0,1,1
34177747,Batman Arkham Asylum GOTY Edition,18.3,1,1
213256245,Dota 2,3.1,1,1
150370754,Dota 2,5.5,1,1
59825286,PixelJunk Monsters Ultimate,1.1,1,1
226357303,Warframe,1.0,1,1
72842694,Might & Magic Heroes VI,10.6,1,1
24721232,Vanguard Princess Director's Cut,0.0,1,0
59005471,Rochard,2.6,1,1
57433226,PAYDAY 2,72.0,1,1
87694960,Gnomoria,0.0,1,0
30425578,Castle Crashers - Pink Knight Pack,0.0,1,0
141118871,Dirty Bomb,44.0,1,1
57103808,COH2 - The Western Front Armies US Forces,0.0,1,0
49893565,StarMade,0.0,1,0
11161178,Half-Life Deathmatch Source,0.0,1,0
59662830,Stronghold HD,0.0,1,0
58029555,Grand Theft Auto V,68.0,1,1
159077305,Watch_Dogs,0.4,1,1
81746734,Unturned,0.6,1,1
108264287,King Arthur's Gold,9.2,1,1
43360645,Enclave,0.0,1,0
124059151,Never Alone (Kisima Ingitchuna),0.0,1,0
250414887,Counter-Strike Global Offensive,46.0,1,1
94819329,The Elder Scrolls V Skyrim,341.0,1,1
33995654,Napoleon Total War,105.0,1,1
30246419,Magicka The Watchtower,0.0,1,0
166863117,Just Cause 2,18.6,1,1
65398650,Slip,0.1,1,1
264625792,Just Cause 2,0.0,1,0
120725727,Killing Floor Mod Defence Alliance 2,0.0,1,0
197904909,Saints Row The Third - Initiation Station,0.0,1,0
254952543,War Thunder,0.0,1,0
11403772,Mechanic Escape,1.4,1,1
24632218,PAYDAY 2,5.3,1,1
38465050,Antichamber,2.0,1,1
20772968,Max Payne 3,0.0,1,0
222180483,Counter-Strike Global Offensive,655.0,1,1
163073929,Dota 2,15.8,1,1
298222970,The Witcher 3 Wild Hunt - Expansion Pass,0.0,1,0
198249024,The Elder Scrolls V Skyrim - Hearthfire,0.0,1,0
65229865,Half-Life 2 Lost Coast,0.0,1,0
62486194,Empire Total War,155.0,1,1
18604016,Napoleon Total War,89.0,1,1
80511960,sZone-Online,0.6,1,1
192772707,Oddworld Abe's Oddysee,0.0,1,0
125145239,Dota 2,148.0,1,1
57103808,Command and Conquer 4 Tiberian Twilight,4.7,1,1
132300630,Scribblenauts Unlimited,6.1,1,1
48984158,Dying Light,19.6,1,1
117531196,Knights and Merchants,0.0,1,0
240405101,The Elder Scrolls V Skyrim,1.2,1,1
47384303,Mortal Kombat Legacy II - Ep. 6 Johnny Cage,0.0,1,0
108007732,Arma 2,2.0,1,1
122094388,Fallout 3 - Game of the Year Edition,0.3,1,1
98649241,Warframe,83.0,1,1
60859695,Influent,0.8,1,1
14465359,Natural Selection 2,69.0,1,1
66950079,Saints Row The Third,0.0,1,0
40237093,Half-Life 2 Episode One,0.7,1,1
54293428,DARK SOULS II - Season Pass,0.0,1,0
243664576,Captain Forever Remix,22.0,1,1
17995238,Alien Breed Impact,0.7,1,1
116876958,Dracula Origin,1.6,1,1
16710264,Half-Life 2,6.1,1,1
81160212,The Witcher 2 Assassins of Kings Enhanced Edition,0.7,1,1
81160212,Batman Arkham Origins - Infinite Earths Skins Pack,0.0,1,0
86612326,Counter-Strike Global Offensive,405.0,1,1
212001545,Victim of Xen,0.0,1,0
11978743,R.U.S.E.,0.0,1,0
144071257,Mountain,31.0,1,1
73726855,Fiesta Online,0.0,1,0
30519870,Machinarium,1.4,1,1
64787956,Counter-Strike,0.0,1,0
26729643,Mount & Blade With Fire and Sword,48.0,1,1
204795948,PixelJunk Monsters Ultimate,1.2,1,1
64369759,Sonic CD,0.0,1,0
192503967,Robocraft,14.9,1,1
76892907,Eternal Senia,0.0,1,0
176709931,Karos,0.0,1,0
118852041,Dragon's Prophet,0.0,1,0
61753631,Call of Duty Modern Warfare 2 - Multiplayer,1118.0,1,1
33651880,Race The WTCC Game,0.0,1,0
93189271,Heroes & Generals,0.0,1,0
154014392,Loadout,1.2,1,1
43684632,Rome Total War,15.9,1,1
176318036,Counter-Strike Global Offensive,57.0,1,1
150751526,Neverwinter,16.4,1,1
36546868,Rogue Legacy,0.0,1,0
287122626,HAWKEN,0.0,1,0
189123038,PAYDAY 2,7.5,1,1
120237789,Spore Creepy & Cute Parts Pack,5.1,1,1
14544587,Counter-Strike,0.0,1,0
52572702,Empire Total War,192.0,1,1
2753525,Age of Empires II HD Edition,0.0,1,0
213893829,Dota 2,6.1,1,1
116564064,Resident Evil 6 / Biohazard 6,11.2,1,1
58905429,State of Decay,12.3,1,1
62990992,Franchise Hockey Manager 2014,2.0,1,1
110658990,Killing Floor Mod Defence Alliance 2,0.0,1,0
281535206,Fallout New Vegas,9.3,1,1
26729643,Company of Heroes (New Steam Version),2.3,1,1
58435428,Call of Duty Black Ops - Multiplayer,35.0,1,1
219230362,Heroes & Generals,0.0,1,0
10385370,Ricochet,0.0,1,0
44153929,Counter-Strike,2092.0,1,1
47384202,resident evil 4 / biohazard 4,0.4,1,1
3527485,Portal 2,11.4,1,1
124556386,Deathmatch Classic,0.0,1,0
59825286,Borderlands DLC The Zombie Island of Dr. Ned,0.0,1,0
48798067,Patch testing for Chivalry,0.0,1,0
111754806,Tabletop Simulator,13.1,1,1
166639984,Global Agenda,0.0,1,0
292989657,Dota 2,0.7,1,1
174896111,Counter-Strike,77.0,1,1
58345543,Fuse,0.0,1,0
21551002,Day of Defeat,0.0,1,0
147395962,Garry's Mod,19.3,1,1
41124938,Dota 2,0.2,1,1
6717871,Euro Truck Simulator,0.0,1,0
93644606,GameMaker Studio,8.3,1,1
118693973,POSTAL 2,5.7,1,1
36546868,Recettear An Item Shop's Tale,0.0,1,0
14465359,DiRT 2,8.5,1,1
50818751,Lead and Gold - Gangs of the Wild West,3.1,1,1
59662830,Mount & Blade Warband - Napoleonic Wars,0.0,1,0
283264914,Tom Clancy's Ghost Recon Phantoms - EU,0.0,1,0
127788996,Airport Simulator 2014,0.0,1,0
170172944,Star Wars Knights of the Old Republic,0.0,1,0
2753525,Killing Floor Mod Defence Alliance 2,0.0,1,0
86912006,Rusty Hearts,0.0,1,0
207830797,Mortal Kombat Legacy II - Ep. 1 Reunited in Macau,0.0,1,0
172518437,Saints Row IV,3.0,1,1
54310644,POSTAL 2,0.0,1,0
43913966,Mount & Blade Warband,60.0,1,1
55906572,Starbound - Unstable,0.0,1,0
60859695,The Witcher 2 Assassins of Kings Enhanced Edition,0.0,1,0
118971362,Half-Life 2 Lost Coast,0.0,1,0
77194086,The Mighty Quest For Epic Loot,0.7,1,1
210905793,Arctic Combat,0.0,1,0
172518437,No More Room in Hell,0.0,1,0
187463594,PROTOTYPE 2,30.0,1,1
297340487,Warframe,1.0,1,1
43913966,Divinity Dragon Commander Beta,3.7,1,1
48525807,Magicka Vietnam,0.0,1,0
65145468,Total War ROME II - Emperor Edition,46.0,1,1
30425578,X-COM Apocalypse,0.0,1,0
52321307,Total War SHOGUN 2,116.0,1,1
118236431,Dota 2,216.0,1,1
34919318,Far Cry 2,0.3,1,1
69009454,Dota 2,5.6,1,1
54477968,Counter-Strike Condition Zero,19.9,1,1
44153929,theHunter,1.4,1,1
88579585,"Warhammer 40,000 Dawn of War II  Retribution",0.0,1,0
86055705,The Elder Scrolls V Skyrim,7.7,1,1
99162218,Metro 2033,0.0,1,0
66508737,Magicka,5.2,1,1
21061921,FortressCraft Evolved,0.1,1,1
222045462,Dota 2,328.0,1,1
49228258,Call of Duty Black Ops II,0.0,1,0
94690589,Dark Messiah of Might & Magic Single Player,0.0,1,0
114924461,Dead Space,0.6,1,1
3449240,Team Fortress Classic,0.0,1,0
34177747,Borderlands DLC Claptraps New Robot Revolution,0.0,1,0
105243827,Age of Empires II HD Edition,8.0,1,1
215160630,Narcissu 1st & 2nd,0.9,1,1
212426459,Overcast - Walden and the Werewolf,0.0,1,0
206512772,Dota 2,2.3,1,1
62990992,Arctic Adventure,0.0,1,0
117601858,Broforce,11.4,1,1
29302014,Contagion,3.9,1,1
237275985,Counter-Strike Global Offensive,46.0,1,1
168349102,Grand Chase,0.0,1,0
48798067,Labyrinthine Dreams,0.0,1,0
307057657,Counter-Strike Nexon Zombies,0.0,1,0
197302530,Burnout Paradise The Ultimate Box,30.0,1,1
192170147,Counter-Strike Nexon Zombies,0.0,1,0
86055705,Hack 'n' Slash,0.2,1,1
35177894,Left 4 Dead 2,49.0,1,1
293766234,Dwarfs F2P,0.0,1,0
118541865,XCOM Enemy Unknown,0.0,1,0
288274882,Trove,91.0,1,1
76892907,Killing Floor Mod Defence Alliance 2,0.0,1,0
47457723,Worms Ultimate Mayhem,0.2,1,1
113752996,David.,0.0,1,0
111163130,Fallout New Vegas,178.0,1,1
2110581,Universe Sandbox,0.4,1,1
65398650,Sid Meier's Civilization IV Colonization,0.0,2,0
71390526,Dino D-Day,0.9,1,1
101690993,Dreamfall Chapters,0.0,1,0
10608804,Deathmatch Classic,0.0,1,0
54310644,Shadow Warrior Classic Redux,3.9,1,1
137455836,Magic 2014 ,9.4,1,1
298950,Rocket League,49.0,1,1
172386568,Dota 2,21.0,1,1
33865373,Skyborn,0.0,1,0
215877085,Warframe,0.0,1,0
36978196,Day of Defeat,1.8,1,1
33282871,Hurtworld,13.8,1,1
126522515,Dirty Bomb,0.5,1,1
131610144,Dota 2,1829.0,1,1
171266433,Dota 2,299.0,1,1
80604456,The Elder Scrolls V Skyrim,5.0,1,1
99077905,DiRT Showdown,2.6,1,1
83849502,Savant - Ascent,0.0,1,0
244823619,Spiral Knights,0.0,1,0
34177747,FTL Faster Than Light,0.0,1,0
203800963,Trucks & Trailers,0.0,1,0
94936385,Borderlands 2,0.0,1,0
209869297,H1Z1 Test Server,0.0,1,0
151015947,BioShock,0.8,1,1
69856757,Max Payne 2 The Fall of Max Payne,6.0,1,1
68540434,War Thunder,0.0,1,0
154230723,Meltdown,0.0,1,0
287778700,Dota 2,188.0,1,1
7440594,FINAL FANTASY XIV A Realm Reborn CE (NA version),0.0,1,0
103411746,Portal 2,3.1,1,1
250826540,Royal Quest,4.3,1,1
76451157,Darwinia,0.0,1,0
195780309,The Ship,0.6,1,1
24721232,Star Wars Starfighter,0.0,1,0
49893565,Grand Theft Auto V,23.0,1,1
1851828,Counter-Strike,0.0,1,0
76892907,Recettear An Item Shop's Tale,0.1,1,1
87734805,Dirty Bomb,0.0,1,0
255957600,Dota 2,12.4,1,1
113752996,BattleBlock Theater,13.0,1,1
44147409,Total War SHOGUN 2,112.0,1,1
62990992,Counter-Strike Source,2.7,1,1
128593044,Teleglitch Die More Edition,0.0,1,0
165755355,Commandos 2 Men of Courage,0.0,1,0
60210313,Half-Life 2 Deathmatch,0.0,1,0
86055705,Spy Chameleon - RGB Agent,0.0,1,0
38100517,Alien Shooter Vengeance,4.5,1,1
60859695,Narcissu 1st & 2nd,0.7,1,1
20566124,Day of Defeat,0.2,1,1
99264709,Zombies Monsters Robots,0.0,1,0
42771635,Cogs,0.9,1,1
87341384,Castlevania Lords of Shadow 2 - Revelations DLC,0.0,1,0
36502549,DC Universe Online,10.6,1,1
56413349,PlanetSide 2,0.0,1,0
11403772,The Incredible Adventures of Van Helsing II,3.0,1,1
68224834,War of the Roses,114.0,1,1
70591968,Sid Meier's Civilization V,1154.0,1,1
92914917,Nuclear Dawn,2.8,1,1
46957399,Fallout New Vegas Dead Money,0.0,1,0
99133844,Dota 2,74.0,1,1
249779815,Sid Meier's Civilization V Brave New World,0.0,1,0
174226719,Unturned,138.0,1,1
99264709,Killing Floor Uncovered,0.0,1,0
185079540,The Walking Dead,19.3,1,1
36557643,Magicka Holiday Spirit Item Pack ,0.0,1,0
189813843,Arma 2,0.1,1,1
141513178,Left 4 Dead 2,5.0,1,1
234292025,Marvel Heroes 2015,54.0,1,1
42695514,Football Manager 2016,8.1,1,1
57905818,Team Fortress 2,0.8,1,1
118838369,Ori and the Blind Forest,99.0,1,1
81160212,Quake Mission Pack 1 Scourge of Armagon,0.0,1,0
11024186,The Elder Scrolls V Skyrim,277.0,1,1
26762388,"Warhammer 40,000 Dawn of War  Winter Assault",0.0,1,0
236877694,Dota 2,2.2,1,1
76892907,Batman Arkham Origins,0.0,1,0
118541865,RADical ROACH Deluxe Edition,0.0,1,0
78053539,Team Fortress 2,770.0,1,1
165101762,Copa Petrobras de Marcas,0.5,1,1
43360645,Killing Floor 2,25.0,1,1
835015,Counter-Strike,0.0,1,0
48984158,Magicka Holiday Spirit Item Pack ,0.0,1,0
85366890,Call of Duty Black Ops II - Zombies,0.0,1,0
160461131,Loadout Campaign Beta,0.2,1,1
41407280,Day of Defeat,0.0,1,0
152585209,"Time Gentlemen, Please!",0.0,1,0
8585433,Hammerwatch,2.6,1,1
60859324,Batman Arkham Knight,39.0,1,1
152959594,APB Reloaded,4.2,1,1
13565651,BioShock Infinite - Season Pass,0.0,1,0
234150209,Dota 2,0.6,1,1
115037563,Magicka,1.4,1,1
159800136,Hero Siege,0.1,1,1
115996656,Tabletop Simulator,1.3,1,1
59756932,Dota 2,205.0,1,1
185079540,Gauntlet ,0.0,1,0
13190476,Post Apocalyptic Mayhem,1.5,1,1
216217925,Serious Sam HD The Second Encounter,2.7,1,1
201946795,No More Room in Hell,0.0,1,0
209817175,Depth,7.3,1,1
283382726,Mitos.is The Game,0.2,1,1
48798067,Crysis Warhead,8.1,1,1
294560519,Batman Arkham Origins - Infinite Earths Skins Pack,0.0,1,0
149920224,Don't Starve Together Beta,24.0,1,1
124725852,Half-Life,0.6,1,1
64027842,Counter-Strike Source,404.0,1,1
73726855,Moon Breakers,0.0,1,0
130312302,Spec Ops The Line,5.9,1,1
58217836,Rune Classic,0.0,1,0
243536793,Heroes & Generals,0.5,1,1
30246419,Knights and Merchants,0.2,1,1
60859695,Nancy Drew Warnings at Waverly Academy,0.0,1,0
132593770,Sniper Elite 3,6.3,1,1
194854693,Warframe,0.0,1,0
1936551,Always Sometimes Monsters,5.1,1,1
198105109,Unturned,38.0,1,1
255007865,Unturned,64.0,1,1
40212239,Wargame AirLand Battle,1.1,1,1
92503355,Company of Heroes Tales of Valor,0.0,1,0
256212075,Dota 2,0.2,1,1
118838369,Rotieer,7.2,1,1
30246419,Imperium Romanum Gold Edition,0.0,1,0
39622853,PAYDAY Wolf Pack,0.0,1,0
242935099,Dirty Bomb,0.0,1,0
43684632,Day of Defeat Source,2.1,1,1
247313879,Deus Ex Human Revolution - Director's Cut,0.0,1,0
117552823,Prototype 2 RADNET Access Pack,0.0,1,0
88921433,Half-Life 2 Lost Coast,0.0,1,0
99264709,Happy Wars,3.2,1,1
172771532,Warframe,0.6,1,1
28236623,Half-Life Opposing Force,0.0,1,0
279329852,Strife,0.0,1,0
55426012,Titan Quest,0.0,1,0
24721232,Offspring Fling!,0.0,1,0
173909336,Tom Clancy's Ghost Recon Phantoms - NA,17.2,1,1
120237789,ARK Survival Evolved,319.0,1,1
167013261,Left 4 Dead,0.0,1,0
53245953,Portal,0.6,1,1
148362155,8BitMMO,0.7,1,1
166863117,Neverwinter,0.0,1,0
44545959,Team Fortress Classic,0.0,1,0
119619506,Max Payne 3,37.0,1,1
260320188,Warface,70.0,1,1
145512685,Portal 2 Sixense Perceptual Pack,0.0,1,0
97614578,Robocraft,5.0,1,1
86469479,Magicka 2,0.0,1,0
83867981,Dota 2,3.7,1,1
60296891,Borderlands 2 Headhunter 4 Wedding Day Massacre,0.0,1,0
81943620,Killing Floor Mod Defence Alliance 2,0.0,1,0
127628725,Enclave,0.0,1,0
113196318,Heroes & Generals,37.0,1,1
15702351,Ricochet,0.0,1,0
129522238,Path of Exile,0.0,1,0
212210746,Stronghold Kingdoms,0.0,1,0
207036748,Divinity Original Sin,1.1,1,1
64023574,Only If,0.0,1,0
50769696,Football Manager 2009,137.0,1,1
43518355,The Ship,0.0,1,0
17995238,Chivalry Medieval Warfare,2.5,1,1
90809240,Half-Life 2 Lost Coast,0.5,1,1
82352462,Age of Mythology Extended Edition,7.2,1,1
11952990,Democracy 3 Social Engineering Mac,0.0,1,0
259648553,Mad Max,16.9,1,1
126522515,Rust,68.0,1,1
14465359,Sins of a Solar Empire Rebellion,82.0,1,1
156565178,Rome Total War,0.0,1,0
118991581,Football Manager 2013,582.0,1,1
161816812,Left 4 Dead 2,4.6,1,1
73835640,Kingdom Rush,0.0,1,0
222180483,404Sight,0.0,1,0
50818751,RISK Factions,0.6,1,1
16154372,DOOM 3,0.0,1,0
203092936,Skyrim High Resolution Texture Pack,0.0,1,0
62078957,Day of Defeat,0.0,1,0
38049880,Defense Grid 2,1.0,1,1
20366600,Rochard,0.0,1,0
246627895,Unturned,0.0,1,0
87740709,3DMark Cloud Gate benchmark,0.0,1,0
92663477,Super Dungeon Run,0.0,1,0
96030847,Empire Total War,11.0,1,1
115958331,The Elder Scrolls V Skyrim,57.0,1,1
153382649,Team Fortress 2,9640.0,1,1
116876958,Rise of the Argonauts,0.0,1,0
131377772,Call of Duty Black Ops II,2.3,1,1
159371621,Dino D-Day,0.1,1,1
141721383,Basement,0.2,1,1
49893565,Viking Battle for Asgard,0.0,1,0
179404476,Firefall,0.0,1,0
9128105,Cities Skylines,25.0,1,1
14702137,Darkest Hour Europe '44-'45,0.0,1,0
53784377,Counter-Strike Source,42.0,1,1
190305564,Dota 2,23.0,1,1
39082468,The Vanishing of Ethan Carter Redux,0.0,1,0
19696244,Bastion,13.1,1,1
167901416,Counter-Strike Condition Zero Deleted Scenes,0.0,1,0
66615366,Batman Arkham Asylum GOTY Edition,66.0,1,1
35701646,Don't Starve,109.0,1,1
48118779,Half-Life 2 Episode Two,0.0,1,0
210896662,Batla,0.0,1,0
50811344,Patch testing for Chivalry,0.0,1,0
161759944,Neverwinter,1.5,1,1
22371742,Kane & Lynch 2 Dog Days,0.0,1,0
12760368,Far Cry 2,0.0,1,0
121900241,Counter-Strike Source,0.0,1,0
44472980,Warlock - Master of the Arcane,0.0,1,0
9180659,Left 4 Dead 2,10.1,1,1
138941587,Scourge Outbreak - Blindside,0.0,1,0
3449240,Jagged Alliance 2 Gold Pack,0.0,1,0
197904909,War Thunder,0.0,1,0
35701646,Batman Arkham City GOTY,13.7,1,1
187462398,The Elder Scrolls V Skyrim - Hearthfire,0.0,1,0
163669475,Assassin's Creed II,0.3,1,1
72842694,"Warhammer 40,000 Dawn of War II  Retribution",0.0,1,0
40280688,Half-Life 2 Episode Two,0.0,1,0
112626210,Dragon Age Origins - Ultimate Edition,0.0,1,0
975449,The Incredible Adventures of Van Helsing Thaumaturge,0.0,1,0
7527129,Deathmatch Classic,0.0,1,0
17995238,Alpha Protocol,14.7,1,1
21061921,The Incredible Adventures of Van Helsing Thaumaturge,0.0,1,0
186673066,Saints Row IV,15.1,1,1
